org.apache.commons.math.complex.Complex:1179	2.0 0.0 1.0
org.apache.commons.math.util.FastMath:1932	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1935	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1936	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1937	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1938	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1939	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1940	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1941	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1946	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1947	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1948	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1949	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1951	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1952	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1954	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1956	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1957	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1959	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1961	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1962	1.0 73.0 0.08219949365267865
org.apache.commons.math.util.FastMath:1965	1.0 73.0 0.08219949365267865
org.apache.commons.math.complex.Complex:1127	1.0 79.0 0.07905694150420949
org.apache.commons.math.complex.Complex:120	0.0 10.0 0.0
org.apache.commons.math.complex.Complex:130	0.0 6.0 0.0
org.apache.commons.math.complex.Complex:907	0.0 16.0 0.0
org.apache.commons.math.complex.Complex:911	0.0 14.0 0.0
org.apache.commons.math.complex.Complex:915	0.0 14.0 0.0
org.apache.commons.math.complex.Complex:916	0.0 14.0 0.0
org.apache.commons.math.complex.Complex:917	0.0 9.0 0.0
org.apache.commons.math.complex.Complex:320	0.0 14.0 0.0
org.apache.commons.math.complex.Complex:375	0.0 20.0 0.0
org.apache.commons.math.complex.Complex:123	0.0 17.0 0.0
org.apache.commons.math.complex.Complex:126	0.0 17.0 0.0
org.apache.commons.math.complex.Complex:127	0.0 17.0 0.0
org.apache.commons.math.complex.Complex:117	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:159	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:89	0.0 15.0 0.0
org.apache.commons.math.complex.Complex:90	0.0 15.0 0.0
org.apache.commons.math.complex.Complex:175	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:179	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:176	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:325	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:197	0.0 9.0 0.0
org.apache.commons.math.complex.Complex:201	0.0 8.0 0.0
org.apache.commons.math.complex.Complex:198	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:261	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:253	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:289	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:292	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:295	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:298	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:290	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:296	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:293	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:426	0.0 6.0 0.0
org.apache.commons.math.complex.Complex:441	0.0 8.0 0.0
org.apache.commons.math.complex.Complex:444	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:450	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:442	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:448	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:461	0.0 8.0 0.0
org.apache.commons.math.complex.Complex:465	0.0 7.0 0.0
org.apache.commons.math.complex.Complex:462	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:490	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:506	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:509	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:507	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:330	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:342	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:343	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:345	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:529	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:533	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:942	0.0 6.0 0.0
org.apache.commons.math.complex.Complex:919	0.0 7.0 0.0
org.apache.commons.math.complex.Complex:530	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:554	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:558	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:555	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:580	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:620	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:624	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:621	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:660	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:664	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:661	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:701	0.0 14.0 0.0
org.apache.commons.math.complex.Complex:705	0.0 9.0 0.0
org.apache.commons.math.complex.Complex:706	0.0 9.0 0.0
org.apache.commons.math.complex.Complex:702	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:776	0.0 9.0 0.0
org.apache.commons.math.complex.Complex:777	0.0 8.0 0.0
org.apache.commons.math.complex.Complex:788	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:824	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:828	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:825	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:864	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:868	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:865	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:908	0.0 2.0 0.0
org.apache.commons.math.complex.Complex:978	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:982	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:983	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:984	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:986	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:979	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1023	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1027	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:1028	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:1029	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:1031	0.0 3.0 0.0
org.apache.commons.math.complex.Complex:1024	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1055	0.0 7.0 0.0
org.apache.commons.math.complex.Complex:1082	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:1087	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:1089	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:1093	0.0 5.0 0.0
org.apache.commons.math.complex.Complex:1099	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1102	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1103	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1104	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1105	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1107	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1108	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1109	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1110	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1113	0.0 4.0 0.0
org.apache.commons.math.complex.Complex:1090	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1091	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1094	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1095	0.0 1.0 0.0
org.apache.commons.math.complex.Complex:1168	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3925	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3926	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3928	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3929	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:288	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:291	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:292	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:293	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:1320	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1321	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1322	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1323	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1324	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1325	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1326	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1328	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1329	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1331	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1333	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1334	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1336	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1337	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1338	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1341	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1342	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1344	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1345	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1346	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1350	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1351	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1353	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1354	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1355	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:1357	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2823	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2826	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2830	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2837	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2842	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2845	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2846	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2848	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2849	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2850	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2852	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2853	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2854	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2857	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2858	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2859	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2860	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2861	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2864	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2872	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2873	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2874	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2875	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2876	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2877	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2878	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2880	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2881	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2883	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2884	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2885	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2887	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2888	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2889	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2892	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2894	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2895	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2899	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2900	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2903	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2914	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2915	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2916	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2917	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2918	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2919	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2920	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2923	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2925	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2926	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2927	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2930	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2936	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2937	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2938	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2939	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2940	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2942	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2943	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2945	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2959	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2963	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3003	0.0 18.0 0.0
org.apache.commons.math.util.FastMath:3015	0.0 18.0 0.0
org.apache.commons.math.util.FastMath:3027	0.0 18.0 0.0
org.apache.commons.math.util.FastMath:3037	0.0 18.0 0.0
org.apache.commons.math.util.FastMath:3050	0.0 14.0 0.0
org.apache.commons.math.util.FastMath:3051	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3052	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3061	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3062	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3066	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3067	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3070	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3071	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3073	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3075	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3076	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3077	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3079	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3084	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3086	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:3170	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3174	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3178	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3182	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3186	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3187	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2843	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2947	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2948	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2950	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2951	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2952	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2954	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2955	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2960	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:722	0.0 23.0 0.0
org.apache.commons.math.util.FastMath:741	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:742	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:744	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:752	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:762	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:772	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:774	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:775	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:777	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:779	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:781	0.0 27.0 0.0
org.apache.commons.math.util.FastMath:789	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:790	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:797	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:798	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:799	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:805	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:814	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:815	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:816	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:817	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:818	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:825	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:826	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:832	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:834	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:837	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:840	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:846	0.0 25.0 0.0
org.apache.commons.math.util.FastMath:1975	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1977	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1978	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1979	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1980	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1983	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1985	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1995	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1997	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1998	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:1999	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2000	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2001	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2003	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2014	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2015	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2018	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2019	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2020	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2021	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2024	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2025	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2026	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2027	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2030	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2031	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2032	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2033	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2059	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2060	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2062	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2063	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2064	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2065	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2066	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2068	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2069	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2070	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2071	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2072	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2074	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2089	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2116	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2117	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2119	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2120	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2121	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2122	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2125	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2127	0.0 38.0 0.0
org.apache.commons.math.util.FastMath:2138	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2139	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2141	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2142	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2143	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2145	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2522	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2523	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2525	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2528	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2529	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2535	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2543	0.0 40.0 0.0
org.apache.commons.math.util.FastMath:2548	0.0 36.0 0.0
org.apache.commons.math.util.FastMath:2562	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2568	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2569	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2570	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2572	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2573	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2574	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2575	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2577	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2578	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2579	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2580	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2582	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2583	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2591	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2592	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2593	0.0 24.0 0.0
org.apache.commons.math.util.FastMath:2596	0.0 36.0 0.0
org.apache.commons.math.util.FastMath:2600	0.0 36.0 0.0
org.apache.commons.math.util.FastMath:2604	0.0 20.0 0.0
org.apache.commons.math.util.FastMath:2620	0.0 37.0 0.0
org.apache.commons.math.util.FastMath:2623	0.0 37.0 0.0
org.apache.commons.math.util.FastMath:2624	0.0 37.0 0.0
org.apache.commons.math.util.FastMath:2628	0.0 37.0 0.0
org.apache.commons.math.util.FastMath:2633	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2634	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2648	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2654	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2655	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2656	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2658	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2659	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2660	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2661	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2663	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2664	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2665	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2666	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2668	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2669	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2677	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2678	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2679	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2685	0.0 35.0 0.0
org.apache.commons.math.util.FastMath:2689	0.0 17.0 0.0
org.apache.commons.math.util.FastMath:745	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:749	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:782	0.0 11.0 0.0
org.apache.commons.math.util.FastMath:786	0.0 11.0 0.0
org.apache.commons.math.util.FastMath:2530	0.0 17.0 0.0
org.apache.commons.math.util.FastMath:2531	0.0 17.0 0.0
org.apache.commons.math.util.FastMath:2544	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2602	0.0 21.0 0.0
org.apache.commons.math.util.FastMath:2625	0.0 11.0 0.0
org.apache.commons.math.util.FastMath:2629	0.0 13.0 0.0
org.apache.commons.math.util.FastMath:2687	0.0 22.0 0.0
org.apache.commons.math.util.FastMath:2606	0.0 15.0 0.0
org.apache.commons.math.util.FastMath:2691	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2536	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:2537	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:2540	0.0 12.0 0.0
org.apache.commons.math.util.FastMath:2589	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2590	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2675	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2676	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:1284	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:1288	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3004	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3005	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3008	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3009	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3012	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3016	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3017	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3020	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3021	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3024	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3028	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3029	0.0 4.0 0.0
