org.apache.commons.math3.optimization.direct.CMAESOptimizer:482	1.0 0.0 1.0
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1194	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1195	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1197	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1205	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1206	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1207	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1209	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1218	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1219	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1220	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1221	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1224	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1233	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1243	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1244	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1245	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1246	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1247	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1248	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1251	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1261	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1262	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1263	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1264	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1265	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1266	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1268	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1276	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1277	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1278	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1279	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1280	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1281	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1285	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1293	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1294	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1295	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1296	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1297	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1298	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1302	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1310	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1311	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1312	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1313	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1316	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1324	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1325	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1326	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1327	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1330	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1338	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1339	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1340	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1342	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1350	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1351	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1352	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1354	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1375	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1376	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1377	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1378	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1381	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:855	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:865	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:866	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:867	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:868	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:872	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:916	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:917	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:918	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:919	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:926	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:942	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:952	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:969	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:978	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1006	1.0 13.0 0.2672612419124244
org.apache.commons.math3.optimization.direct.CMAESOptimizer:1007	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.MathArrays:547	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.MathArrays:548	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.MathArrays:549	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:375	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1096	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1106	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1109	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1112	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1123	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1132	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1134	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1154	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1155	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1160	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1161	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1162	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1163	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1164	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1165	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1166	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1168	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1169	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1170	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1172	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1174	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1175	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1177	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1178	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1179	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1182	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1183	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1184	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1186	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1187	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1188	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1192	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1193	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1195	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1196	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1197	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1199	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1204	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1215	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1217	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1218	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1220	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1273	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1274	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1275	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1276	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1277	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1278	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1279	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1296	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1297	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1298	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1299	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1300	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1301	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1303	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1304	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1305	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1306	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1308	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1309	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1310	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1311	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1313	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1314	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1315	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1316	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1318	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1319	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1320	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1321	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1323	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1328	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1653	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1655	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1656	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1657	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1658	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1661	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1663	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1673	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1675	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1676	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1677	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1678	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1679	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1681	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1692	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1693	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1696	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1697	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1698	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1699	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1702	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1703	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1704	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1705	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1708	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1709	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1710	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1711	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1737	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1738	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1740	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1741	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1742	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1743	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1744	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1746	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1747	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1748	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1749	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1750	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1752	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1767	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1794	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1795	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1797	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1798	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1799	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1800	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1803	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1805	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1816	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1817	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1819	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1820	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1821	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:1823	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2201	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2202	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2204	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2207	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2208	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2214	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2222	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2227	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2237	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2238	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2239	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2240	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2243	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2247	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2249	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2251	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2253	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2255	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2268	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2271	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2272	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2276	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2281	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2282	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2292	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2293	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2294	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2295	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2301	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2303	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2305	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2307	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2309	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2974	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:2992	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3396	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3507	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3508	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3510	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3511	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3785	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3788	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3794	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3795	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3796	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3798	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3799	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3800	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3801	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3803	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3804	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3805	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3806	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3808	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3809	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3818	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3819	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3820	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3821	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3827	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3833	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3839	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3752	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3766	1.0 13.0 0.2672612419124244
org.apache.commons.math3.util.FastMath:3768	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:47	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:50	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:51	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:56	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:67	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:68	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:71	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:74	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:79	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:81	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:82	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:83	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:84	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:85	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:86	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:90	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:96	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:98	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:99	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:100	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:101	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:102	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:103	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:107	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:112	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:113	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:114	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:115	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:116	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:117	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:121	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:126	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:127	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:128	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:129	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:130	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:131	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:135	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:141	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:143	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:144	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:145	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:146	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:147	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:148	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:149	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:150	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:151	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:153	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:157	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:280	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:466	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:467	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:468	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:469	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:470	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:473	1.0 13.0 0.2672612419124244
org.apache.commons.math3.linear.AbstractRealMatrix:521	1.0 13.0 0.2672612419124244
