org.apache.commons.math.optimization.RealPointValuePair:68	1.0 14.0 0.2581988897471611
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:75	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:83	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:367	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:368	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:369	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:379	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:384	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:394	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.MatrixUtils:398	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealLinearOperator:52	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVector:58	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVector:527	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVector:864	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:82	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:83	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:106	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:107	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:108	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:109	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:110	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:111	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:112	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:113	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:114	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:162	1.0 26.0 0.19245008972987526
org.apache.commons.math.linear.RealVectorFormat:171	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.GoalType:27	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.GoalType:30	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.GoalType:33	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:81	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:82	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:99	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:100	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:101	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:102	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:103	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:168	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:176	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.LinearConstraint:184	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:25	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:28	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:31	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:34	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:42	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:43	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.linear.Relationship:44	1.0 26.0 0.19245008972987526
org.apache.commons.math.util.CompositeFormat:54	1.0 26.0 0.19245008972987526
org.apache.commons.math.util.CompositeFormat:55	1.0 26.0 0.19245008972987526
org.apache.commons.math.util.CompositeFormat:56	1.0 26.0 0.19245008972987526
org.apache.commons.math.optimization.RealPointValuePair:84	0.0 18.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:195	0.0 13.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:179	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:100	0.0 8.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:114	0.0 8.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:115	0.0 8.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:116	0.0 7.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:117	0.0 7.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:118	0.0 7.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:120	0.0 7.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:123	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:170	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:110	0.0 7.333333333333333 0.0
org.apache.commons.math.optimization.linear.SimplexSolver:142	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:162	0.0 18.666666666666668 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:165	0.0 24.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:199	0.0 15.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:215	0.0 18.666666666666668 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:224	0.0 20.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:261	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:298	0.0 15.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:299	0.0 15.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:300	0.0 18.666666666666668 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:302	0.0 18.666666666666668 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:416	0.0 6.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:498	0.0 24.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:226	0.0 16.666666666666668 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:339	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:406	0.0 2.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:407	0.0 2.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:329	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:117	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:118	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:561	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:568	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:572	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:573	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:574	0.0 7.666666666666667 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:607	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:608	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:609	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:618	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:619	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.SimplexTableau:620	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:245	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:505	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:506	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:508	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:509	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:511	0.0 3.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:94	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:95	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:98	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:101	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:102	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:105	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:106	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:109	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:110	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:114	0.0 1.0 0.0
org.apache.commons.math.linear.Array2DRowRealMatrix:116	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:909	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:912	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:915	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:916	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:917	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:918	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:921	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:922	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:923	0.0 1.0 0.0
org.apache.commons.math.linear.AbstractRealMatrix:928	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:775	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:776	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:780	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:821	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:825	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:829	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:830	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:834	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:838	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:839	0.0 1.0 0.0
org.apache.commons.math.linear.ArrayRealVector:843	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:108	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:112	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:113	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:114	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:132	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:133	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:134	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:143	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:144	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction:145	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:645	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:646	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:647	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:648	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:650	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:676	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:677	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:678	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:679	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:683	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:686	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:688	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:689	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:699	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:701	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:746	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:747	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:748	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:749	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:750	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:751	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:752	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:755	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:781	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:782	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:783	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:784	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:785	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:786	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:787	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:792	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:795	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:797	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:798	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:808	0.0 1.0 0.0
org.apache.commons.math.linear.MatrixUtils:809	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:191	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:195	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:196	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:197	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:218	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:219	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:220	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:229	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:230	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.LinearConstraint:231	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.Relationship:57	0.0 4.0 0.0
org.apache.commons.math.optimization.linear.Relationship:61	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.Relationship:63	0.0 1.0 0.0
org.apache.commons.math.optimization.linear.Relationship:59	0.0 1.0 0.0
org.apache.commons.math.exception.MathIllegalStateException:45	0.0 8.666666666666666 0.0
org.apache.commons.math.exception.MathIllegalStateException:46	0.0 8.666666666666666 0.0
org.apache.commons.math.exception.MathIllegalStateException:47	0.0 8.666666666666666 0.0
org.apache.commons.math.exception.MathIllegalStateException:48	0.0 8.666666666666666 0.0
org.apache.commons.math.optimization.linear.NoFeasibleSolutionException:38	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.NoFeasibleSolutionException:39	0.0 3.0 0.0
org.apache.commons.math.optimization.linear.UnboundedSolutionException:38	0.0 5.666666666666667 0.0
org.apache.commons.math.optimization.linear.UnboundedSolutionException:39	0.0 5.666666666666667 0.0
