org.apache.commons.math.geometry.Vector3D:473	1.0 3.0 0.5
org.apache.commons.math.util.FastMath:3707	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:3708	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:263	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:266	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:267	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:268	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:1948	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1950	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1951	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1952	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1953	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1956	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1958	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1968	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1970	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1971	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1972	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1973	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1974	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1976	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1987	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1988	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1991	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1992	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1993	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1994	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1997	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1998	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:1999	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2000	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2003	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2004	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2005	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2006	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2032	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2033	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2035	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2036	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2037	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2038	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2039	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2041	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2042	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2043	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2044	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2045	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2047	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2062	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2089	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2090	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2092	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2093	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2094	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2095	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2098	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2100	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2111	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2112	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2114	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2115	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2116	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2118	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2495	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2496	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2498	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2501	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2502	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2503	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2504	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2508	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2516	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2521	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2535	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2541	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2542	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2543	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2545	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2546	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2547	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2548	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2550	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2551	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2552	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2553	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2555	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2556	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2563	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2564	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2565	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2568	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2569	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2572	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:2578	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2580	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2592	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2595	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2596	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2597	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:2600	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2605	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2606	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2620	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2626	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2627	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2628	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2630	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2631	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2632	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2633	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2635	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2636	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2637	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2638	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2640	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2641	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2648	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2649	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2650	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2656	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2658	0.0 9.0 0.0
org.apache.commons.math.util.FastMath:2660	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2793	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2796	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2800	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2807	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2812	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2815	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2816	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2818	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2819	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2820	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2822	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2823	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2824	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2827	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2828	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2829	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2830	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2831	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2834	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2842	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2843	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2844	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2845	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2846	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2847	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2848	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2850	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2851	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2853	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2854	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2855	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2857	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2858	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2859	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2862	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2864	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2865	0.0 6.0 0.0
org.apache.commons.math.util.FastMath:2869	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2870	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2873	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2884	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2885	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2886	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2887	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2888	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2889	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2890	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2893	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2895	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2896	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2897	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2900	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2906	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2907	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2908	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2909	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2910	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2912	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2913	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2915	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2929	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2933	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:3087	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3088	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3089	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3092	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3093	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3096	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3097	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3099	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3100	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3102	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3103	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3104	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3108	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3109	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3110	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3111	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3114	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3117	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3120	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3121	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3122	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3123	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3125	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3126	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3128	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3129	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3130	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3132	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3140	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:3144	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:3148	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:3152	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:3156	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:3163	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3164	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3165	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3168	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3169	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3172	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3173	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3175	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3176	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3178	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3179	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3180	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3183	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3184	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3185	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3186	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3189	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3192	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3193	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3194	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3197	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3200	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3204	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3205	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3207	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3208	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3210	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3211	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3212	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3214	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:3157	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2813	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:2837	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2839	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2840	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2841	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:3380	0.0 8.0 0.0
org.apache.commons.math.util.FastMath:2574	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2802	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2803	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2804	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2917	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2918	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2920	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2921	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2922	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2924	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2925	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2930	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2943	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2947	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2973	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2985	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2997	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3007	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3020	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3031	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3032	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3036	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3037	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3040	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3041	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3043	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3045	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3046	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3047	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3049	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3054	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3056	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3711	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2509	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2510	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:2511	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2513	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2576	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2662	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2664	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3895	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3898	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3899	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3902	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3907	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3908	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3911	0.0 2.0 0.0
org.apache.commons.math.util.FastMath:3896	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2948	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2949	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2950	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2952	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2960	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2967	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3021	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3022	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3073	0.0 1.0 0.0
